source,doc_type,ambito,organismo,asunto,fecha,expediente_id,reclamacion_ref,resolucion_sentido,pdf_url,local_path,download_status,http_status,size_bytes,notes
CTBG - Consejo de Transparencia y Buen Gobierno,reclamacion_ctbg,AGE,Ministerio del Interior,Acceso a información,2018-03,R-0542-2017,,estimatoria,https://consejodetransparencia.es/content/dam/ctransparencia/portal-ctbg/actividad/resoluciones/resolucionesage/age_2018/03_marzo/Descompromidas/ESTIMADAS/R-0542-2017.pdf,pdfs/001_R-0542-2017.pdf,ok,200,130562,Resolución estimatoria sobre reclamación de acceso a información
CTBG - Consejo de Transparencia y Buen Gobierno,reclamacion_ctbg,AGE,,Art. 24 LTAIBG - Acceso a información,2023-09,R CTBG 2023-0712,,estimatoria,https://consejodetransparencia.es/content/dam/ctransparencia/portal-ctbg/actividad/resoluciones/resolucionesage/AGE-2023/09-SEPTIEMBRE/ESTIMATORIAS/R%20CTBG%202023-0712%20Resoluci-n%20expte.%20724-2023.pdf,pdfs/002_R_CTBG_2023-0712.pdf,ok,200,197808,
CTBG - Consejo de Transparencia y Buen Gobierno,reclamacion_ctbg,AGE,,Resolución de reclamación art. 24 LTAIBG,2025,R CTBG 2025-0675,,estimatoria,https://www.consejodetransparencia.es/ct_Home/dam/jcr:bb40a3e6-cdd2-45d2-9100-3683a4d24095/R%20CTBG%202025-0675%20%5BResoluci%C3%B3n%20expte.%201758-2024%5D.pdf,,error:HTTPError,,,
CTBG - Consejo de Transparencia y Buen Gobierno,reclamacion_ctbg,AGE,,Acceso a información,2017-11,R-0373-2017,,estimatoria,https://consejodetransparencia.es/content/dam/ctransparencia/portal-ctbg/actividad/resoluciones/resolucionesage/age_2017/11_noviembre/estimadas/R-0373-2017.pdf,pdfs/004_R-0373-2017.pdf,ok,200,103978,
CTBG - Consejo de Transparencia y Buen Gobierno,reclamacion_ctbg,AGE,,Reclamación desestimada,2022-02,R-0692-2021,,desestimatoria,https://consejodetransparencia.es/content/dam/ctransparencia/portal-ctbg/actividad/resoluciones/resolucionesage/AGE-2022/02febrero/DESESTIMADAS/R-0692-2021.pdf,pdfs/005_R-0692-2021.pdf,ok,200,212589,
CTBG - Consejo de Transparencia y Buen Gobierno,reclamacion_ctbg,AGE,,Resolución 358/2022,2022-10,R-0452-2022,,desestimatoria,https://consejodetransparencia.es/content/dam/ctransparencia/portal-ctbg/actividad/resoluciones/resolucionesage/AGE-2022/10octubre/DESESTIMADAS/Resolucion%20358-2022_expte.%20R-0452-2022.pdf,pdfs/006_R-0452-2022.pdf,ok,200,182069,
CTBG - Consejo de Transparencia y Buen Gobierno,reclamacion_ctbg,AGE,,Resolución 394/2022,2022-10,R-0394-2022,,estimatoria,https://consejodetransparencia.es/content/dam/ctransparencia/portal-ctbg/actividad/resoluciones/resolucionesage/AGE-2022/10octubre/ESTIMADAS/Resolucion%20394-2022_expte.%20R-0394-2022.pdf,pdfs/007_R-0394-2022.pdf,ok,200,278672,
CTBG - Consejo de Transparencia y Buen Gobierno,reclamacion_ctbg,AGE,,Resolución 479/2022,2022-11,R-0465-2022,,estimatoria,https://consejodetransparencia.es/content/dam/ctransparencia/portal-ctbg/actividad/resoluciones/resolucionesage/AGE-2022/11noviembre/ESTIMADAS/Resolucion%20479-2022_expte.%20R-0465-2022.pdf,pdfs/008_R-0465-2022.pdf,ok,200,218587,
CTBG - Consejo de Transparencia y Buen Gobierno,reclamacion_ctbg,AGE,,Resolución estimatoria,2018-01,R-0469-2017,,estimatoria,https://consejodetransparencia.es/content/dam/ctransparencia/portal-ctbg/actividad/resoluciones/resolucionesage/age_2018/01_enero/Descomprimidas/ESTIMADAS/R-0469-2017.pdf,pdfs/009_R-0469-2017.pdf,ok,200,267066,
CTBG - Consejo de Transparencia y Buen Gobierno,reclamacion_ctbg,AGE,,Resolución desestimatoria,2023-12,R CTBG 2023-1057,,desestimatoria,https://consejodetransparencia.es/content/dam/ctransparencia/portal-ctbg/actividad/resoluciones/resolucionesage/AGE-2023/12-DICIEMBRE%202023/DESESTIMATORIAS/R%20CTBG%202023-1057%20Resoluci-n%20expte.%201941-2023.pdf,pdfs/010_R_CTBG_2023-1057.pdf,ok,200,293792,
CTBG - Consejo de Transparencia y Buen Gobierno,reclamacion_ctbg,AGE,,Resolución parcialmente estimada,2023-04,R CTBG 2023-0262,,parcial,https://consejodetransparencia.es/content/dam/ctransparencia/portal-ctbg/actividad/resoluciones/resolucionesage/AGE-2023/04-ABRIL/ESTIMADAS-PARCIAL/R%20CTBG%202023-0262%20Resoluci-n_expte.%20R-0849-2022.pdf,pdfs/011_R_CTBG_2023-0262.pdf,ok,200,316389,
CTBG - Consejo de Transparencia y Buen Gobierno,reclamacion_ctbg,AGE,,Reclamación desestimada,2020-08,R-0304-2020,,desestimatoria,https://consejodetransparencia.es/content/dam/ctransparencia/portal-ctbg/actividad/resoluciones/resolucionesage/age-2020/08agosto/desestimadas/R-0304-2020.pdf,pdfs/012_R-0304-2020.pdf,ok,200,633430,
CTBG - Consejo de Transparencia y Buen Gobierno,reclamacion_ctbg,AGE,,Resolución de reclamación art. 24 LTAIBG,2025-04,R CTBG 2025-0441,,estimatoria,https://consejodetransparencia.es/content/dam/ctransparencia/portal-ctbg/actividad/resoluciones/resolucionesage/AGE-2025/04abril/estimadas/R%20CTBG%202025-0441%20(Resoluci%C3%B3n%20expte.%202246-2024).pdf,pdfs/013_R_CTBG_2025-0441.pdf,ok,200,158056,
CTBG - Consejo de Transparencia y Buen Gobierno,reclamacion_ctbg,AGE,,Resolución estimada por motivos formales,2021-10,R-0466-2021,,estimatoria,https://consejodetransparencia.es/content/dam/ctransparencia/portal-ctbg/actividad/resoluciones/resolucionesage/age-2021/10octubre2021/estimadas-formales/R-0466-2021.pdf,pdfs/014_R-0466-2021.pdf,ok,200,180483,
CTBG - Consejo de Transparencia y Buen Gobierno,reclamacion_ctbg,AGE,,Resolución estimada,2019-11,R-0600-2019,,estimatoria,https://consejodetransparencia.es/content/dam/ctransparencia/portal-ctbg/actividad/resoluciones/resolucionesage/age2019/11noviembre/descomprimidas/estimadas/R-0600-2019.pdf,pdfs/015_R-0600-2019.pdf,ok,200,232302,
CTBG - Consejo de Transparencia y Buen Gobierno,reclamacion_ctbg,AGE,,Resolución estimada,2019-06,R-0189-2019,,estimatoria,https://consejodetransparencia.es/content/dam/ctransparencia/portal-ctbg/actividad/resoluciones/resolucionesage/age2019/06junio/descomprimidas/estimadas/R-0189-2019.pdf,pdfs/016_R-0189-2019.pdf,ok,200,157724,
CTBG - Consejo de Transparencia y Buen Gobierno,reclamacion_ctbg,AGE,,Resolución estimada,2020-10,R-0458-2020,,estimatoria,https://consejodetransparencia.es/content/dam/ctransparencia/portal-ctbg/actividad/resoluciones/resolucionesage/age-2020/10octubre/estimadas/R-0458-2020..pdf,pdfs/017_R-0458-2020.pdf,ok,200,231174,
CTBG - Consejo de Transparencia y Buen Gobierno,reclamacion_ctbg,AGE,,Resolución desestimada,2019-10,R-0524-2019,,desestimatoria,https://consejodetransparencia.es/content/dam/ctransparencia/portal-ctbg/actividad/resoluciones/resolucionesage/age2019/10octubre/descomprimidas/desestimadas/R-0524-2019.pdf,pdfs/018_R-0524-2019.pdf,ok,200,186351,
CTBG - Consejo de Transparencia y Buen Gobierno,reclamacion_ctbg,AGE,,Resolución desestimada,2022-05,R-1060-2021,,desestimatoria,https://consejodetransparencia.es/content/dam/ctransparencia/portal-ctbg/actividad/resoluciones/resolucionesage/AGE-2022/05mayo/DESESTIMADAS/R-1060-2021.pdf,pdfs/019_R-1060-2021.pdf,ok,200,167245,
CTBG - Consejo de Transparencia y Buen Gobierno,reclamacion_ctbg,autonomico,,Resolución autonómica estimatoria,2020-06,RT 0014/2020,,estimatoria,https://consejodetransparencia.es/content/dam/ctransparencia/portal-ctbg/actividad/resoluciones/resoluciones_ccaa_eell/CCAA-2020/06-junio-2020/descomprimidas/estimadas2020/RT_0014_2020.pdf,pdfs/020_RT_0014_2020.pdf,ok,200,652734,
CTBG - Consejo de Transparencia y Buen Gobierno,reclamacion_ctbg,autonomico,,Resolución inadmitida,2018-04,RT/0007/2018,,inadmision,https://consejodetransparencia.es/content/dam/ctransparencia/portal-ctbg/actividad/resoluciones/resoluciones_ccaa_eell/CCAA_2018/04_abril_2018/Descomprimidas/INADMITIDAS/RT_0007_2018.pdf,pdfs/021_RT_0007_2018.pdf,ok,200,91457,
CTBG - Consejo de Transparencia y Buen Gobierno,reclamacion_ctbg,autonomico,,Resolución archivada,2019-01,RT 0524/2018,,na,https://consejodetransparencia.es/content/dam/ctransparencia/portal-ctbg/actividad/resoluciones/resoluciones_ccaa_eell/CCAA_2019/01-enero-2019/descomprimidas/archivadas/RT_0524_2018.pdf,pdfs/022_RT_0524_2018.pdf,ok,200,80196,
CTBG - Consejo de Transparencia y Buen Gobierno,reclamacion_ctbg,autonomico,,Resolución estimatoria,2018-09,RT_0117_2018/RT_0119_2018,,estimatoria,https://consejodetransparencia.es/content/dam/ctransparencia/portal-ctbg/actividad/resoluciones/resoluciones_ccaa_eell/CCAA_2018/09_septiembre_2018/descomprimidas/estimadas/RT_0117_2018_0119_2018.pdf,pdfs/023_RT_0117_2018_RT_0119_2018.pdf,ok,200,134612,
CTBG - Consejo de Transparencia y Buen Gobierno,reclamacion_ctbg,autonomico,,Resolución estimatoria,2020-11,RT 0260/2020,,estimatoria,https://consejodetransparencia.es/content/dam/ctransparencia/portal-ctbg/actividad/resoluciones/resoluciones_ccaa_eell/CCAA-2020/11-noviembre-20/estimadas/RT_0260_2020.pdf,pdfs/024_RT_0260_2020.pdf,ok,200,697603,
CTBG - Consejo de Transparencia y Buen Gobierno,reclamacion_ctbg,autonomico,,Resolución estimatoria,2018-08,RT/0028/2018,,estimatoria,https://consejodetransparencia.es/content/dam/ctransparencia/portal-ctbg/actividad/resoluciones/resoluciones_ccaa_eell/CCAA_2018/08_agosto_2018/comprimidas/ESTIMADAS/RT_0028_2018.pdf,pdfs/025_RT_0028_2018.pdf,ok,200,100579,
